id,title,start_date,end_date
67,گواهینامه ایزو HSE-MS,1404/05/14,1407/02/25
68,گواهینامه دوره مدیر عامل برای ایزو 90012015,-,-
69,گواهینامه دوره عضو هیئت مدیره برای ایزو 90012015,-,-
70,گواهینامه دوره عضو هیئت مدیره برای ایزو 90012015,-,-
71,گواهی صلاحیت پیمانکاری از سازمان برنامه بودجه,1404/05/07,1408/05/08
72,گواهینامه صلاحیت ایمنی پیمانکاران,1402/07/22,1404/07/22
73,گواهی تایید صلاحیت فنی و مالی اشخاص حقوقی ,1404/04/22,1405/04/22
74,گواهینامه ایمنی شغلی در صنایع و معادن از اداره خدمات نظارتی دولت جمهوری تاجیکستان,1404/05/03,-
75,گواهینامه استفاده از تسلیحاتی که در صنایع و معادن خطر آتش‌سوزی دارند از اداره خدمات نظارتی دولت جمهوری تاجیکستان,1404/05/03,-
76,"کارت بازرگانی صنایع، معادن و کشاورزی تهران",1386/06/18,1407/03/04
77,عضویت سندیکای شرکتهای ساختمانی ایران,1404/06/26,1405/06/26
78,صادر کننده مدال‌آور سال 1404,1404,-
79,گواهینامه صلاحیت پیمانکاران طرح و ساخت پایه 1 رشته راه و ترابری,1404/07/30,1406/06/04
