project_name,id,type,fromDate,toDate, amount,cumulative
احداث رستوران بزرگ پتروشیمی بندر امام,15,تعدیل,1404/04/01,1404/04/31,16227968885,573441870284
احداث رستوران بزرگ پتروشیمی بندر امام,16,تعدیل,1404/05/01,1404/05/31,12392513965,585834384249
احداث رستوران بزرگ پتروشیمی بندر امام,17,تعدیل,1404/06/01,1404/06/31,54056833669,639891217918
احداث رستوران بزرگ پتروشیمی بندر امام,18,تعدیل,1404/07/01,1404/07/30,81761181397,721652399315
احداث تقاطع غیرهمسطح فلکه اول رجایی شهر به صورت گروه طرح و ساخت EPC,1,تعدیل,1402/08/01,1402/09/30,3715207608,3715207608
احداث تقاطع غیرهمسطح فلکه اول رجایی شهر به صورت گروه طرح و ساخت EPC,2,تعدیل,1402/10/01,1402/12/12,43427747999,47142955607
احداث تقاطع غیرهمسطح فلکه اول رجایی شهر به صورت گروه طرح و ساخت EPC,3,تعدیل,1402/12/13,1402/12/29,5946789094,53089744701
احداث تقاطع غیرهمسطح فلکه اول رجایی شهر به صورت گروه طرح و ساخت EPC,4,تعدیل,1403/01/01,1403/02/10,118046818324,171136563025
احداث تقاطع غیرهمسطح فلکه اول رجایی شهر به صورت گروه طرح و ساخت EPC,5,تعدیل,1403/02/11,1403/03/31,50742068787,221878631812
احداث تقاطع غیرهمسطح فلکه اول رجایی شهر به صورت گروه طرح و ساخت EPC,6,تعدیل,1403/04/01,1403/06/31,71739004346,293617636158
احداث تقاطع غیرهمسطح فلکه اول رجایی شهر به صورت گروه طرح و ساخت EPC,7,تعدیل,1403/07/01,1403/09/30,73211737424,366829373582
احداث تقاطع غیرهمسطح فلکه اول رجایی شهر به صورت گروه طرح و ساخت EPC,8,تعدیل,1403/10/01,1403/12/15,66863329961,433692703543
احداث مجموعه ورزشی گلشن,1,تعدیل,1402/09/11,1403/10/02,65517927236,65517927236
احداث مجموعه ورزشی گلشن,2,تعدیل,1403/10/02,1403/11/16,28216803783,93734731019
احداث مجموعه ورزشی گلشن,3,تعدیل,1403/11/16,1404/02/31,53383619830,147118350849
احداث خانه کشتی شهدای شمیران نو,1,تعدیل,1402/09/06,1403/10/02,69597829689,69597829689
احداث خانه کشتی شهدای شمیران نو,2,تعدیل,1402/09/06,1403/11/16,55257411227,124855240916
احداث خانه کشتی شهدای شمیران نو,3,تعدیل,1402/09/06,1403/11/16,39889255981,164744496897
"توسعه بی ترانس پست ۶۳،۲۰ کیلوولت صنعتی دلیجان ۲",1,صورت وضعیت,1403/08/08,1404/06/22,32162073399,32162073399
"توسعه بی ترانس پست ۶۳،۲۰ کیلوولت صنعتی دلیجان ۲",2,صورت وضعیت,1404/06/23,1404/08/18,10334220419,42496293818
"توسعه بی ترانس پست ۶۳،۲۰ کیلوولت صنعتی دلیجان ۲",3,صورت وضعیت,1404/08/19,1404/10/29,35613222269,78109516087
"توسعه بی ترانس پست ۶۳،۲۰ کیلوولت صنعتی دلیجان ۲",4,صورت وضعیت,1404/10/30,1404/11/18,47982043244,126091559331
عملیات اجرایی انتقال رسوب به یال غربی سد باطله معدن مس میدوک,1,صورت وضعیت,1402/04/01,1402/07/30,515796493,515796493
عملیات اجرایی انتقال رسوب به یال غربی سد باطله معدن مس میدوک,2,صورت وضعیت,1402/08/01,1402/10/30,15441145111,15956941604
عملیات اجرایی انتقال رسوب به یال غربی سد باطله معدن مس میدوک,3,صورت وضعیت,1402/11/01,1402/12/29,5545976758,21502918362
عملیات اجرایی انتقال رسوب به یال غربی سد باطله معدن مس میدوک,4,صورت وضعیت,1403/01/01,1403/03/31,14160072754,35662991116
