project_name,id,type,fromDate,toDate, amount,cumulative
انجام عملیات اجرایی ایستگاه پمپاژ دوم بن یکه بر روی خط انتقال آب خلیج فارس 22W1  در مجاورت ایستگاه پمپاژ موجود بن یکه,6,تعدیل,1404/05/01,1404/06/31,18093049584,509226709434
انجام عملیات اجرایی ایستگاه پمپاژ دوم بن یکه بر روی خط انتقال آب خلیج فارس 22W1  در مجاورت ایستگاه پمپاژ موجود بن یکه,7,تعدیل,1404/07/01,1404/08/30,80283646793,589510356227
انجام عملیات اجرایی ایستگاه پمپاژ دوم بن یکه بر روی خط انتقال آب خلیج فارس 22W1  در مجاورت ایستگاه پمپاژ موجود بن یکه,8,تعدیل,1402/05/17,1404/09/30,73086967474,662597323701
انجام عملیات اجرایی ایستگاه پمپاژ دوم بن یکه بر روی خط انتقال آب خلیج فارس 22W1  در مجاورت ایستگاه پمپاژ موجود بن یکه,9,تعدیل,1404/10/01,1404/11/30,215802065807,878399389508
"آماده سازی، باطله برداری، استخراج ماده معدنی (طلا و زرنیخ)، احداث و نگهداری راههای دسترسی در معدن طلای زرشوران",1,تعدیل,1403/04/20,1403/06/31,220264043900,220264043900
"آماده سازی، باطله برداری، استخراج ماده معدنی (طلا و زرنیخ)، احداث و نگهداری راههای دسترسی در معدن طلای زرشوران",2,تعدیل,1403/09/01,1403/09/30,73204639031,293468682931
"آماده سازی، باطله برداری، استخراج ماده معدنی (طلا و زرنیخ)، احداث و نگهداری راههای دسترسی در معدن طلای زرشوران",3,تعدیل,1403/10/01,1403/10/30,69226910717,362695593648
"آماده سازی، باطله برداری، استخراج ماده معدنی (طلا و زرنیخ)، احداث و نگهداری راههای دسترسی در معدن طلای زرشوران",4,تعدیل,1403/11/01,1403/11/30,113933239676,476628833324
"آماده سازی، باطله برداری، استخراج ماده معدنی (طلا و زرنیخ)، احداث و نگهداری راههای دسترسی در معدن طلای زرشوران",5,تعدیل,1403/07/01,1403/11/30,82628818133,559257651457
"آماده سازی، باطله برداری، استخراج ماده معدنی (طلا و زرنیخ)، احداث و نگهداری راههای دسترسی در معدن طلای زرشوران",6,تعدیل,1403/12/01,1403/12/30,108012784091,667270435548
"آماده سازی، باطله برداری، استخراج ماده معدنی (طلا و زرنیخ)، احداث و نگهداری راههای دسترسی در معدن طلای زرشوران",7,تعدیل,1404/01/01,1404/01/31,132748067438,800018502986
"آماده سازی، باطله برداری، استخراج ماده معدنی (طلا و زرنیخ)، احداث و نگهداری راههای دسترسی در معدن طلای زرشوران",8,تعدیل,1404/02/01,1404/02/31,149242174917,949260677903
"آماده سازی، باطله برداری، استخراج ماده معدنی (طلا و زرنیخ)، احداث و نگهداری راههای دسترسی در معدن طلای زرشوران",9,تعدیل,1403/07/01,1404/02/31,179788530876,1129049208779
"آماده سازی، باطله برداری، استخراج ماده معدنی (طلا و زرنیخ)، احداث و نگهداری راههای دسترسی در معدن طلای زرشوران",10,تعدیل,1404/03/01,1404/03/31,162628025263,1291677234042
"آماده سازی، باطله برداری، استخراج ماده معدنی (طلا و زرنیخ)، احداث و نگهداری راههای دسترسی در معدن طلای زرشوران",11,تعدیل,1404/04/01,1404/04/31,160471003399,1452148237441
"آماده سازی، باطله برداری، استخراج ماده معدنی (طلا و زرنیخ)، احداث و نگهداری راههای دسترسی در معدن طلای زرشوران",12,تعدیل,1404/05/01,1404/05/31,131576747011,1583724984452
"آماده سازی، باطله برداری، استخراج ماده معدنی (طلا و زرنیخ)، احداث و نگهداری راههای دسترسی در معدن طلای زرشوران",13,تعدیل,1404/06/01,1404/06/31,204350246926,1788075231378
"آماده سازی، باطله برداری، استخراج ماده معدنی (طلا و زرنیخ)، احداث و نگهداری راههای دسترسی در معدن طلای زرشوران",14,تعدیل,1404/07/01,1404/07/30,252703311474,2040778542852
"آماده سازی، باطله برداری، استخراج ماده معدنی (طلا و زرنیخ)، احداث و نگهداری راههای دسترسی در معدن طلای زرشوران",15,تعدیل,1404/08/01,1404/08/30,240852340602,2281630883454
"آماده سازی، باطله برداری، استخراج ماده معدنی (طلا و زرنیخ)، احداث و نگهداری راههای دسترسی در معدن طلای زرشوران",16,تعدیل,1404/01/01,1404/08/30,1447157813501,3728788696955
"آماده سازی، باطله برداری، استخراج ماده معدنی (طلا و زرنیخ)، احداث و نگهداری راههای دسترسی در معدن طلای زرشوران",17,تعدیل,1404/09/01,1404/09/30,279771977522,4008560674477
"آماده سازی، باطله برداری، استخراج ماده معدنی (طلا و زرنیخ)، احداث و نگهداری راههای دسترسی در معدن طلای زرشوران",18,تعدیل,1404/10/01,1404/10/30,200245453410,4208806127887
