projectname,contractAmount,currency,image_link
احداث سیستم کلکتور میدان مادر,13965000000.00,IRR,Project/Colkaraj4.jpg
احداث سیستم کلکتور بلوار استقلال و رجایی شهر,7500000000.00,IRR,Project/Colkaraj2.jpg
دیوار حائل کوبولتی در شهر تفلیس,153381.00,GEL,Project/retainingwall.jpg
احداث و بازسازی سیستم آبرسانی شهر دوشنبه,431112.00,USD,Project/PipeDosh.jpg
پروژه احداث سیستم آبیارى و زهکشى ماختارال- در جمهورى قزاقستان (قطعه اول),22123552402.00,KZT (₸),Project/Makhtaral1.jpg
عملیات اجرایی انتقال رسوب به یال غربی سد باطله معدن مس میدوک,194000000000.00,IRR,Project/Yalgharbi.jpg
احداث تقاطع غیرهمسطح فلکه اول رجایی شهر به صورت گروه طرح و ساخت EPC,2710000000000.00,IRR,Project/KarajUn.jpg
عملیات اجرایی احداث محور قزوین-رحیم آباد-کلاچای حد فاصل جاده باراجین(کیلومتر 500+4 الی 000+9),1550000000000.00,IRR,Project/Rahimabad.jpg
احداث سد خاکی ایاسی در تانزانیا,21831962013.00,TZS,Project/Tanzania_Dam.jpg
پروژه احداث سیستم آبیارى و زهکشى آریس  ترکستان  1 در جمهورى قزاقستان,10961207958.00,KZT (₸),Project/Aris1.jpg
پروژه احداث سیستم آبیارى و زهکشى PMC- در جمهورى قزاقستان,6548517756.00,KZT (₸),Project/PMC.jpg
"عملیات اجرایی پل خرپایی فولادی دوم به طول ۳۹ متر، جهت اتصال بزرگراه M6 به شهر آختالا (پل فولادی آختالا-۱)",710000.00,USD,Project/akhtala.jpg
"عملیات اجرایی پل خرپایی فولادی دوم به طول ۳۹ متر، جهت اتصال بزرگراه M6 به شهر آختالا (پل فولادی آختالا-۲)",750000.00,USD,Project/akhtala.jpg
"عملیات اجرایی پل خرپایی فولادی دوم به طول ۳۹ متر، جهت اتصال بزرگراه M6 به شهر آختالا (پل‌های خرپایی فولادی دوقلوی خاشتاراک)",750000.00,USD,Project/akhtala.jpg
تهیه مصالح و احداث سالن آبگیری باطله (فلوتاسیون)0036,698000000000.00,IRR,Project/0036.jpg
"تهیه مصالح و احداث ساختمان ادمین، دیوار حایل و فونداسیون های ناحیه کراشر و بلندینگ، ادمین آبگیری، استخر آب برگشتی و تعمیرگاه (فلوتاسیون)0043",1700000000000.00,IRR,Project/0043.jpg
عملیات اجرایی ناحیه سنگ شکن پروژه تغلیظ فاز 2 میدوک,3880000000000.00,IRR,Project/SangShekan.jpg
پروژه احداث سیستم آبیارى و زهکشى ماختارال- در جمهورى قزاقستان (قطعه دوم),8145047163.00,KZT (₸),Project/Makhtaral2.jpg
ساختمان شتاب دهنده شهر مهندسی ایروان,2839989600.00,AMD,Project/CityEng.jpg
بازسازی ساختمان گمرگ ارمنستان در مرز باگراتاشن,1385156763.00,AMD,Project/Gomrok.jpeg
  احداث و ساخت سازه آبگیر ورودی سد و نیروگاه برق آبی راغون-جمهوری تاجیکستان لات 4  (Early Works),343075580.00,USD,Project/WRaghon.jpg
"عملیات اجرایى و ایمن‌سازى پایاب سیستم تخلیه سیلاب سرریز، جاده دسترسى و کارهاى باقیمانده سد نرماشیر(نساء)",720000000000.00,IRR,Project/narmashir.jpg
احداث تونل انتقال آب کامه به همراه سازه های تبدیل ورودی و خروجی به صورت طرح و ساخت (EPC غیر صنعتی),941000000000.00,IRR,Project/Tonelkameh.jpg
انجام عملیات اجرایی ایستگاه پمپاژ دوم بن یکه بر روی خط انتقال آب خلیج فارس 22W1  در مجاورت ایستگاه پمپاژ موجود بن یکه,2410000000000.00,IRR,Project/Bonyeke.jpg
احداث رستوران بزرگ پتروشیمی بندر امام,2230000000000.00,IRR,Project/RestBandar.jpg
احداث مجموعه ورزشی گلشن,471000000000.00,IRR,Project/Golsan1.jpg
احداث خانه کشتی شهدای شمیران نو,480000000000.00,IRR,Project/Shemiran_No.jpg
پروژه احداث مهمانسرای (هتل) مجتمع مس شهر بابک,2070000000000.00,IRR,Project/Hotel.jpg
احداث 32 کیلومتر راه از آگاراک به واردانیز و در ادامه به تونل موجود (بخش چهارم) کاجاران,214388543.00,USD,Project/kajaran.jpg
عملیات اجرایی احداث تونل اسالم به خلخال (گردنه الماس),9820000000000.00,IRR,Project/Asalem.jpg
"تهیه مصالح و اجرای سازه بخش شمالی تا تراز همکف، جمع‌آوری برم خاکی و اجرای سازه نگهبان مجتمع تجاری- اداری ایوانک",3710000000000.00,IRR,Project/eyvanak.jpg
عملیات اجرایی احداث باند دوم محور خمین-الیگودرز,2550000000000.00,IRR,Project/Aligodarz.jpg
"آماده سازی، باطله برداری، استخراج ماده معدنی (طلا و زرنیخ)، احداث و نگهداری راههای دسترسی در معدن طلای زرشوران",22100000000000.00,IRR,Project/Zarshoran.jpg
"تهيه، ساخت، حمل و اجرای عمليات كوبش شمع هاي بتني پيش ساخته واحد كلر آلكالي",4670000000000.00,IRR,Project/Alkali.jpg
"توسعه بی ترانس پست ۶۳،۲۰ کیلوولت صنعتی دلیجان ۲",390000000000.00,IRR,Project/Deligan.jpg
ساختمان مسکونی تجاری کرج,1952138500.00,IRR,Project/KarajBuilding.jpg
تکمیل پروژه خانه کشتی و مجموعه ورزشی گلشن (ابنیه و تاسیسات موتور خانه و تصفیه استخر),534000000000.00,IRR,Project/Golshan2.jpg
"بازسازی سیستم تامین آب و تاسیسات آبیاری در منطقه ژامبیل: ساخت کانال های بوشاکای 1، 2 و 3",1133690844.00,KZT (₸),Project/Boshakai.jpg
بازسازی سیستم تامین آب و تاسیسات آبیاری در منطقه ژامبیل: ساخت کانال سازا,2053151059.00,KZT (₸),Project/Saza.jpg
تأمین و حمل 50000 تن قیر به ترکمنستان,29750000.00,USD,Project/ghirtorkaman.jpg
"عملیات اجرایی پل خرپایی فولادی دوم به طول ۳۹ متر، جهت اتصال بزرگراه M6 به شهر آختالا (پل فولادی خاکومی)",700000.00,USD,Project/akhtala.jpg
ساخت پل گوده-گوده و جاده های مربوطه,30161160401.00,TZS,Project/civil.jpg
احداث 242 کیلومتر راه به همراه تمام تقاطعات در ترکمنستان,0.00,-,Project/civil.jpg
احداث حدود 7 کیلومتر تونل کاجاران و بازسازی حدود 4 کیلومتر راه دسترسی,240000000.00,USD,Project/civil.jpg
احداث آبگیر ساحل چپ نیروگاه برق‌آبی راغون (قطعه ۴),595645460.00,USD,Project/civil.jpg
